"id","name","city","grade","address","website","sourceStatus","note"
"9c934b17-136e-4f60-aadb-bb348bf2d9a7","Adelaide Symphony Orchestra","adelaide","B","91 Hindley Street, Adelaide SA 5000","https://www.aso.com.au/","200","Address stored; no confidently verified destination coordinate available from inspected source."
"e2e2b927-c5ab-4ec8-af16-8158e9cf695b","Anchovy Bandit","adelaide","C","","https://www.anchovybandit.com/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"8b81e1a7-9adb-4b9d-b208-bd571e9472bf","Borsa Pasta Cucina","adelaide","A","1/25 Grenfell Street, Adelaide SA 5000","https://www.borsapastacucina.com/","200","Venue-specific GeoCoordinates plus matching street address in official site structured data."
"2f9f2e1e-bc19-49a9-a563-ec285bfb8231","Bowden Brewing","adelaide","C","","https://bowdenbrewing.com/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"773d7159-0d44-4b7c-a0f8-b88e6da84541","Campbelltown City Council","adelaide","B","172 Montacute Road, Rostrevor SA","https://www.campbelltown.sa.gov.au/","403","Address stored; no confidently verified destination coordinate available from inspected source."
"92e8fe4d-5284-403d-9d29-6b401ba33914","City of Tea Tree Gully","adelaide","B","Golden Fields Reserve, Atlantis Drive, Golden Grove SA 5125","https://www.teatreegully.sa.gov.au/","403","Address stored; no confidently verified destination coordinate available from inspected source."
"7d102832-9f67-4e04-9511-cb623eeeaaa2","Clever Little Tailor","adelaide","C","","https://www.nearmint.com.au/clever-little-tailor","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"93b05ae5-9c5c-47bf-9e1b-8c3733cc9b07","Daughter in Law Adelaide","adelaide","C","","https://www.daughterinlaw.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"3f44e96c-0509-42b6-a562-245487339a96","Good Gilbert","adelaide","C","","https://goodgilbert.com/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"f3d1a6f6-f6f1-49da-893c-b6fd27a8dd82","Leigh Street Wine Room","adelaide","C","","https://www.leighstreetwineroom.com/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"872fc494-9c6d-4687-877e-1355be090e6f","Nature Play SA","adelaide","C","South Australia","https://natureplaysa.org.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"37554f7b-45f7-4e02-8042-5f1f00956ef3","NOLA Adelaide","adelaide","C","","https://www.nolaadelaide.com/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"5feb3a60-0a1e-48b6-9b12-29aded48f5ce","Press* Food & Wine","adelaide","C","","https://www.pressfoodandwine.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"0822f2ca-c242-4ddf-9adb-60b9a2309a16","The Astor Hotel","adelaide","C","","https://theastor.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"432737aa-a301-426f-abf0-7ea93f04ac6d","The Black Bull Hotel","adelaide","C","","https://blackbullhotel.com.au/contact-us/","200","Embedded map viewport coordinates are not independently verified destination pins."
"5e765de0-6b0f-4ccf-96ac-402d5496ed7b","The British Hotel North Adelaide","adelaide","C","","https://www.britishhotel.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"e5986edb-e32c-4edb-925f-fc20b512b01a","The Edinburgh Hotel","adelaide","C","","https://edinburgh.com.au/functions/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"e12dee82-f158-41b3-baaf-085b62320181","Two Pot Screamer","adelaide","C","","https://twopotscreamer.com.au/","fetch failed","Incomplete or multi-place record; establish exact venue/address before geocoding."
"911769c8-d765-4ec8-84fb-d993051d7e1f","Adelaide Showground Farmers' Market","Adelaide","C","Adelaide Showground / temporary Goodwood Primary School pop-up","https://adelaidefarmersmarket.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"f342009d-1693-4f5e-85f9-27c00622697c","Bank Street Social","Adelaide","C","Adelaide, SA","https://www.bankstreetsocial.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"7ec62d24-8d55-4981-abd0-a8af44eb0480","City of Adelaide","Adelaide","C","Adelaide SA","https://www.cityofadelaide.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"cbb8bdb4-3b4b-496e-92c6-4b6f0d93f1f1","City of Charles Sturt","Adelaide","B","72 Woodville Road, Woodville SA 5011","https://www.charlessturt.sa.gov.au/","403","Address stored; no confidently verified destination coordinate available from inspected source."
"a3b9d4c0-f2fe-476b-a4ff-57905195b943","City of Onkaparinga","Adelaide","C","City of Onkaparinga, SA","https://www.onkaparingacity.com/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"cb084b2e-4863-401a-ac9a-631c9c44fe2d","City of Playford","Adelaide","C","City of Playford, South Australia","https://www.playford.sa.gov.au/","202","Incomplete or multi-place record; establish exact venue/address before geocoding."
"fc34fe46-fdc5-49ed-9770-b5a35d0f8e8d","City of Unley Libraries","Adelaide","C","City of Unley, SA","https://www.unley.sa.gov.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"60aa4ff3-71fd-40dc-b0e7-934c2bf88c45","City of West Torrens","Adelaide","B","165 Sir Donald Bradman Drive, Hilton SA 5033","https://www.westtorrens.sa.gov.au/","200","Address stored; no confidently verified destination coordinate available from inspected source."
"a5bcb195-546d-4040-ab3e-f0dd12f6eabd","Clarence Park Community Centre","Adelaide","B","72-74 East Avenue, Black Forest SA 5035","https://www.unley.sa.gov.au/Events-facilities/Facilities-venues/Community-Centres/Clarence-Park","200","Address stored; no confidently verified destination coordinate available from inspected source."
"5f428bf4-4a93-4fbc-a42c-4a1dd6b9395c","Dogs Day Out Mawson Lakes","Adelaide","C","Mobara Park & Denison Centre, Garden Terrace, Mawson Lakes SA 5095","https://www.dogsdayoutadl.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"1791e808-2342-41f5-98fe-ee376eef2a99","Green Adelaide","Adelaide","C","Adelaide metropolitan area","https://www.greenadelaide.sa.gov.au/","200","Reject website agency GeoCoordinates: they identify Studio Veld, not Green Adelaide."
"8a7b3ad8-cdc3-4d61-8a93-b6a0e62314e0","Marina Pier","Adelaide","B","12 Holdfast Promenade, Glenelg SA 5045","https://www.marinapier.com.au/","200","Address stored; no confidently verified destination coordinate available from inspected source."
"1e09908a-f536-4604-a6ac-4cc195c4eeca","Nailsworth Community Shed","Adelaide","B","31 D'Erlanger Avenue, Collinswood SA 5081","https://www.prospect.sa.gov.au/","403","Address stored; no confidently verified destination coordinate available from inspected source."
"c0135a30-dca8-4bc9-b234-a8c865c6bbfb","Nature Festival SA","Adelaide","C","Adelaide, South Australia","https://www.naturefestival.org.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"7b0c577a-7bc0-4f21-809b-699869925a1d","Office for Recreation, Sport and Racing","Adelaide","C","Metropolitan Adelaide","https://orsr.sa.gov.au/get-active/growing-for-gold","403","Incomplete or multi-place record; establish exact venue/address before geocoding."
"9761bbe5-5c01-4205-a352-56cd9575d15a","Para Hills Community Hub","Adelaide","B","22 Wilkinson Road, Para Hills SA 5096","https://www.salisbury.sa.gov.au/community/community-centres/para-hills-community-hub","202","Address stored; no confidently verified destination coordinate available from inspected source."
"89323fc9-bda9-407f-a3b3-a18ff96aa644","Payinthi","Adelaide","B","128 Prospect Road, Prospect SA 5082","https://www.prospect.sa.gov.au/community/venues-and-parks/payinthi","403","Address stored; no confidently verified destination coordinate available from inspected source."
"b66ed77f-72c1-422e-817b-0c7e8d34ca0b","Payneham Library (Tirkandi)","Adelaide","B","2 Turner Street, Felixstow SA 5070","https://www.npsp.sa.gov.au/culture_and_lifestyle/libraries/locations_and_opening_hours","200","Address stored; no confidently verified destination coordinate available from inspected source."
"91d145b9-ed01-460c-9669-2217586004ee","Riverlea","Adelaide","B","Riverlea Park SA 5120","https://www.riverlea.com.au/","200","Address stored; no confidently verified destination coordinate available from inspected source."
"1ff04945-6081-4969-bb17-f1a3bd060cce","RoofClimb Adelaide Oval","Adelaide","B","War Memorial Drive, North Adelaide SA 5006","https://roofclimb.com.au/","200","Address stored; no confidently verified destination coordinate available from inspected source."
"1a6ac4b7-0d0c-4e53-9c22-6a6e938ad16e","Royal Adelaide Show","Adelaide","B","Adelaide Showground, Goodwood Road, Wayville SA 5034","https://www.theshow.com.au/","200","Address stored; no confidently verified destination coordinate available from inspected source."
"13c77906-0e0e-40ec-aa25-de18ddb9ced7","Seaford Community Centre","Adelaide","B","32 Beachwood Grove, Seaford SA 5169","https://www.onkaparingacity.com/Community-facilities-support/Community-centres/Seaford-Community-Centre","200","Address stored; no confidently verified destination coordinate available from inspected source."
"521468ed-6912-4bc0-b548-21a182e0aeaa","SHANX Mini Golf Adelaide","Adelaide","C","Regency Park & Paralowie","https://shanxminigolf.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"5ccb5137-da3e-439a-9840-70162e6d72b4","Town of Walkerville","Adelaide","B","66 Walkerville Terrace, Gilberton SA 5081","https://www.walkerville.sa.gov.au/","403","Address stored; no confidently verified destination coordinate available from inspected source."
"f819ccf3-6fe3-4380-9c96-aba8f46e3507","Urban Market Co.","Adelaide","B","Burnside Town Hall, 401 Greenhill Road, Tusmore SA 5065","https://www.urbanmarketco.com.au/","200","Address stored; no confidently verified destination coordinate available from inspected source."
"c9458f4e-3026-417c-b252-c50e4db4be7b","Bunnings Warehouse","australia-wide","C","","","No source","Incomplete or multi-place record; establish exact venue/address before geocoding."
"47894f9f-2518-45b5-81fa-1d8d03621619","Brisbane Motor Museum","brisbane","C","","https://www.brisbanemotormuseum.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"cb503c0c-750c-44d4-bc54-90e0b6226c49","Hervé's Restaurant & Bar","brisbane","C","","https://www.hervesrestaurantbar.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
"67f1dfdf-00d7-4ce7-bb40-21344e01db25","QBC Stadium Bar","brisbane","C","","https://darlingpaddington.com.au/","200","Incomplete or multi-place record; establish exact venue/address before geocoding."
